Geography,Date,Weekly Deaths,Death Data As Of
United States,Jul 31 2021,4105,Feb 22 2024
United States,Jul 24 2021,2760,Feb 22 2024
United States,Jul 17 2021,1991,Feb 22 2024
United States,Jul 10 2021,1645,Feb 22 2024
United States,Jul  3 2021,1543,Feb 22 2024
United States,Jun 26 2021,1635,Feb 22 2024
United States,Jun 19 2021,1776,Feb 22 2024
United States,Jun 12 2021,2035,Feb 22 2024
United States,Jun  5 2021,2347,Feb 22 2024
United States,May 29 2021,2770,Feb 22 2024
United States,May 22 2021,3238,Feb 22 2024
United States,May 15 2021,3678,Feb 22 2024
United States,May  8 2021,4006,Feb 22 2024
United States,May  1 2021,4165,Feb 22 2024
United States,Apr 24 2021,4601,Feb 22 2024
United States,Apr 17 2021,4450,Feb 22 2024
United States,Apr 10 2021,4313,Feb 22 2024
United States,Apr  3 2021,4197,Feb 22 2024
United States,Mar 27 2021,4461,Feb 22 2024
United States,Mar 20 2021,4893,Feb 22 2024
United States,Mar 13 2021,5725,Feb 22 2024
United States,Mar  6 2021,6731,Feb 22 2024
United States,Feb 27 2021,8654,Feb 22 2024
United States,Feb 20 2021,10807,Feb 22 2024
United States,Feb 13 2021,13519,Feb 22 2024
United States,Feb  6 2021,17034,Feb 22 2024
United States,Jan 30 2021,20322,Feb 22 2024
United States,Jan 23 2021,23687,Feb 22 2024
United States,Jan 16 2021,25692,Feb 22 2024
United States,Jan  9 2021,25974,Feb 22 2024
United States,Jan  2 2021,24845,Feb 22 2024
United States,Dec 26 2020,23364,Feb 22 2024
United States,Dec 19 2020,22314,Feb 22 2024
United States,Dec 12 2020,20913,Feb 22 2024
United States,Dec  5 2020,18545,Feb 22 2024
United States,Nov 28 2020,15615,Feb 22 2024
United States,Nov 21 2020,13343,Feb 22 2024
United States,Nov 14 2020,10644,Feb 22 2024
United States,Nov  7 2020,8754,Feb 22 2024
United States,Oct 31 2020,7019,Feb 22 2024
United States,Oct 24 2020,5990,Feb 22 2024
United States,Oct 17 2020,5195,Feb 22 2024
United States,Oct 10 2020,4813,Feb 22 2024
United States,Oct  3 2020,4240,Feb 22 2024
United States,Sep 26 2020,4296,Feb 22 2024
United States,Sep 19 2020,4273,Feb 22 2024
United States,Sep 12 2020,4618,Feb 22 2024
United States,Sep  5 2020,5010,Feb 22 2024
United States,Aug 29 2020,5739,Feb 22 2024
United States,Aug 22 2020,6374,Feb 22 2024
United States,Aug 15 2020,7248,Feb 22 2024
United States,Aug  8 2020,7848,Feb 22 2024
United States,Aug  1 2020,8285,Feb 22 2024
United States,Jul 25 2020,8229,Feb 22 2024
United States,Jul 18 2020,7166,Feb 22 2024
United States,Jul 11 2020,5770,Feb 22 2024
United States,Jul  4 2020,4540,Feb 22 2024
United States,Jun 27 2020,3835,Feb 22 2024
United States,Jun 20 2020,3844,Feb 22 2024
